plant_code,generator_id,plant_name,state,nameplate_mw,operating_year,latitude,longitude
66624,DBD,Double Back Diamond,IL,592.8,2024,39.53729,-89.809783
64347,7777,Mockingbird Solar Center,TX,471.0,2024,33.39167,-95.42519
65644,LUMII,Lumina II Solar Project,TX,326.6,2024,32.883528,-100.746389
65645,LUMIN,Lumina Solar Project,TX,326.6,2024,32.901081,-100.982695
64859,IPRAD,"IP Radian, LLC",TX,320.0,2023,31.5481,-99.1872
61852,ESMSF,Eagle Shadow Mountain Solar Farm,NV,300.0,2023,36.629761,-114.684033
66263,1111,Eleven Mile Solar Center,AZ,300.0,2024,32.86097,-111.59191
62755,PROSP,Prospero Solar,TX,300.0,2020,32.287873,-102.840399
59871,GEN01,Desert Quartzite,CA,300.0,2024,33.565,-114.753
65030,LAVE1,Oxbow Solar 1,LA,300.0,2024,30.667878,-91.391706
63320,IPTTN,Titan Solar Project,TX,260.0,2021,31.70038,-104.458136
57378,AVSR,AV Solar Ranch One,CA,253.0,2014,34.780278,-118.42444
61202,MTSG3,Mount Signal Solar Farm V,CA,252.3,2018,32.678805,-115.56721
65734,OBIPV,Oberon Solar Project,CA,250.0,2023,33.72899,-115.38238
61906,PHOEB,Phoebe Solar,TX,250.0,2019,31.843422,-102.868295
63300,IPAT1,Athos Solar Project,CA,250.0,2022,33.751283,-115.35499
67127,TOOM1,"SR Toombs, LLC",GA,250.0,2024,32.294555,-82.41625
64325,PROSP,Prospero Solar II,TX,250.0,2021,32.275814,-102.844806
66821,ORN3,Orion III Solar Project,TX,250.0,2024,30.960219,-97.12452
66941,ORN2,Orion II Solar Project,TX,250.0,2024,31.029028,-96.934783
57859,1,Moapa Southern Paiute,NV,250.0,2016,36.52995,-114.770308
65735,OBIIP,Oberon II Solar Project,CA,250.0,2023,33.72899,-115.38238
63770,COBH1,Bighorn Solar 1,CO,240.0,2021,38.207518,-104.596708
62462,GEN01,Muscle Shoals,AL,227.0,2021,34.76973,-87.90454
65053,IPBMS,Blythe Mesa Solar II,CA,223.6,2022,33.640813,-114.680261
67285,GEN01,Sun Streams 3,AZ,215.0,2024,33.331667,-112.811944
61696,TWIGG,Twiggs Solar,GA,204.0,2020,32.604997,-83.491239
65007,PV1,Grant County,WI,200.0,2024,42.718978,-90.701036
66859,ORN1,Orion I Solar Project,TX,200.0,2024,30.996511,-97.001505
64290,IPAT2,"SE Athos II, LLC",CA,200.0,2021,33.751283,-115.35499
65333,785,Shakes Solar,TX,200.0,2022,28.44208,-99.75582
62893,PWOLF,Prairie Wolf Solar LLC,IL,200.0,2021,39.544605,-87.97198
65032,COSM1,Sun Mountain Solar 1,CO,200.0,2022,38.180331,-104.518529
66046,BRZ01,Brazoria County Solar Project (Danciger),TX,200.0,2022,29.1779,-95.7612
62200,HILLC,Hillcrest Solar,OH,200.0,2021,39.076972,-83.906046
65947,TB,Tres Bahias,TX,196.3,2024,28.68851,-96.509833
63329,IPAGN,Aragorn Solar Project,TX,187.2,2021,31.719983,-104.442292
66112,U1,Newport Solar Project,AR,180.0,2023,35.668902,-91.187108
60654,GEN01,Townsite Solar Project Hybrid,NV,180.0,2021,35.937336,-114.883999
60572,GEN01,White Wing Solar,AZ,179.0,2024,32.994056,-113.508806
62675,SKIPJ,Skipjack Solar Center,VA,175.0,2022,37.437106,-77.158736
66818,RUSVL,SR Russellville,KY,173.0,2024,36.795723,-86.94326
64841,SOTOI,"SR DeSoto I, LLC",GA,165.0,2022,31.886486,-84.021586
63328,JUNO1,Juno Solar Project,TX,162.1,2021,32.772889,-101.39102
67580,MKM,Markum Solar Farm,TX,161.0,2024,31.694792,-97.374883
60827,GEN01,"Sun Streams, LLC",AZ,160.0,2020,33.34884,-112.8348
65674,PV,Edwards Sanborn E1B,CA,154.4,2022,34.964033,-118.094144
60044,BKTH1,Buckthorn Westex,TX,154.0,2018,30.57552,-102.551292
65031,INBF1,Bellflower Solar 1,IN,152.5,2023,39.786742,-85.416371
57695,TPZ2,Topaz Solar Farm,CA,151.2,2013,35.405556,-120.068611
59879,GEN01,North Rosamond Solar LLC,CA,151.1,2019,34.862,-118.38
67019,CHSLR,"Copperhead Solar, LLC",TX,150.0,2024,31.45,-96.86
65008,PV1,Onion River,WI,150.0,2023,43.6002,-87.896589
63440,GEN01,Sun Streams 2,AZ,150.0,2021,33.320406,-112.816771
60034,GEN01,"CA Flats Solar 150, LLC",CA,150.0,2019,35.615573,-120.404352
68474,TXPC1,Peacock Energy Project,TX,150.0,2024,28.000395,-97.387902
67964,A150M,Agave,AZ,150.0,2023,33.32389,-112.83972
66954,23001,Umbriel Solar,TX,150.0,2023,30.668754,-94.783466
64878,PV,Edwards Sanborn E1A,CA,149.3,2022,34.961922,-118.124208
64637,BRS,Big River Solar,IL,149.0,2022,38.050141,-88.295525
65675,PV,Edwards Sanborn E4,CA,148.9,2022,34.943575,-118.087989
57491,56819,Imperial Solar Energy Center West,CA,148.7,2016,32.772225,-115.779311
59897,1,Taylor County Solar,GA,148.0,2016,32.583056,-84.297222
58467,CVS1,Campo Verde Solar,CA,147.4,2013,32.753333,-115.726389
63328,IPJNO,Juno Solar Project,TX,143.5,2021,32.772889,-101.39102
64879,PV,Edwards Sanborn E2,CA,137.8,2021,34.941507,-118.129025
65711,GEN1,Vikings Energy Farm,CA,136.8,2024,32.803363,-115.27174
65975,TXST1,Starr Solar Ranch,TX,136.0,2024,26.523359,-99.017108
57373,AGU2,Agua Caliente Solar Project,AZ,136.0,2012,32.9774,-113.4945
65976,LAPR1,Prairie Ronde Solar Farm,LA,135.0,2024,30.61,-92.17
63764,TXEB1,Elm Branch Solar 1,TX,134.7,2021,32.23256,-96.706121
60033,GEN01,"CA Flats Solar 130, LLC",CA,130.0,2017,35.615573,-120.404352
57695,TPZ1,Topaz Solar Farm,CA,129.8,2013,35.405556,-120.068611
57490,56819,Imperial Solar Energy Center South,CA,128.9,2013,32.663289,-115.658284
67018,WLDSP,Wild Springs,SD,128.0,2024,44.07,-102.84
63769,TXBC1,Briar Creek Solar 1,TX,127.0,2021,32.067483,-96.585136
62470,GEN01,Cove Mountain Solar 2,UT,122.0,2020,37.638602,-113.637097
57373,AGU3,Agua Caliente Solar Project,AZ,121.0,2014,32.9774,-113.4945
63273,1215,Wagyu,TX,120.0,2020,29.242304,-95.658144
65319,MAPL,Maplewood Solar,VA,120.0,2022,36.89,-79.32
60436,1,East Pecos Solar,TX,118.5,2017,31.000883,-102.281744
65225,ENX17,"Waverly Solar, LLC",VA,118.0,2023,37.020784,-77.12265
63351,BBS2,Bluebell Solar II,TX,115.0,2020,31.888,-100.825
57695,TPZ5,Topaz Solar Farm,CA,112.5,2014,35.405556,-120.068611
62288,VAL01,"Valentine Solar, LLC",CA,111.2,2019,34.90422,-118.384341
57708,INV,Catalina Solar LLC,CA,110.0,2012,34.938261,-118.334492
66955,18099,Three Corners Solar,ME,110.0,2024,44.612621,-69.451817
65376,SNIP2,SR Snipesville II,GA,107.0,2021,31.708821,-82.715724
66171,SNIP3,SR Snipesville III,GA,107.0,2023,31.697152,-82.764546
64838,CLAY,"SR Clay, LLC",GA,106.0,2022,31.544831,-84.900566
59896,1,Butler Solar Project 103,GA,104.0,2016,32.561944,-84.275833
59826,GEN01,Sunshine Valley Solar,NV,103.5,2019,36.518,-116.497
57695,TPZ3,Topaz Solar Farm,CA,102.1,2014,35.405556,-120.068611
56917,1,"Imperial Valley Solar, LLC",CA,101.0,2013,32.671099,-115.587265
10444,LOC1,"Lockhart Solar PV, LLC",CA,100.4,2023,35.0308,-117.3563
64566,CNTRL,"Central Line Solar, LLC",AZ,100.0,2022,32.834322,-111.56803
66125,WESTL,"West Line Solar, LLC",AZ,100.0,2022,32.7559,-111.5548
63765,ALBB1,Black Bear Solar 1,AL,100.0,2023,32.196971,-86.327341
60261,GEN1,Playa Solar 2,NV,100.0,2017,36.408,-114.908
65981,TXSD1,Second Division Solar,TX,100.0,2024,29.170545,-95.741574
64191,LUMP,SR Lumpkin,GA,100.0,2021,32.025,-84.7325
62899,EASTL,East Line Solar,AZ,100.0,2020,32.84703,-111.565072
62812,MS1,Milford Solar 1,UT,99.0,2020,38.490667,-113.018283
66623,HGS,Harvest Gold Solar,MS,99.0,2024,33.505,-90.636
63766,ARHA1,Happy Solar 1,AR,95.0,2023,35.167715,-91.660279
57373,AGU1,Agua Caliente Solar Project,AZ,90.7,2012,32.9774,-113.4945
57695,TPZ4,Topaz Solar Farm,CA,90.3,2014,35.405556,-120.068611
60491,SB3SF,Springbok 3 Solar Farm Hybrid,CA,90.0,2019,35.171153,-118.001652
62165,SNIPE,Snipesville,GA,86.0,2020,31.715814,-82.74946
66699,LOC2,Lockhart Solar PV II,CA,84.4,2023,35.04351,-117.3489
62505,1,G.S.E. One LLC,TX,83.0,2021,33.500378,-96.146489
67171,F2024,Foxhound,VA,83.0,2024,36.875897,-78.741874
63061,CLVR,Clover Creek Solar Community Solar,UT,80.0,2021,39.840652,-111.887656
66173,AILEY,SR Ailey,GA,80.0,2024,32.193594,-82.538735
64150,LANCR,Lancaster Solar GA,GA,80.0,2021,31.766506,-84.797206
64469,OEALD,Wing,AL,80.0,2023,31.007777,-86.59194
62177,DH001,"Desert Harvest, LLC",CA,80.0,2020,33.8,-115.38
66634,ENX20,Adams Solar LLC PA,PA,80.0,2023,39.879553,-77.197226
63076,GUTN,Gutenberg Solar,NC,79.9,2019,36.486428,-77.534825
59827,GEN01,"Playa Solar 1, LLC",NV,79.0,2017,36.408,-114.908
58646,STL,Stateline Solar,CA,75.9,2015,35.6,-115.4
65012,PV1,Crawfish River,WI,75.0,2023,43.0,-88.8764
62679,1405,Palmetto Plains,SC,75.0,2019,33.340179,-80.697336
63271,1295,Huntley,SC,75.0,2020,33.335583,-80.634174
65173,PV1,Hardeetown Solar Power Plant,FL,74.9,2023,29.48562,-82.843455
60030,PECAN,Pecan Solar,NC,74.9,2018,36.481008,-77.481164
61982,PV1,Columbia Solar Power Plant,FL,74.9,2020,29.882644,-82.696145
66639,PV1,Falmouth Renewable Energy Center,FL,74.9,2024,30.3436,-83.1562
63517,PV1,Santa Fe Solar Power Plant,FL,74.9,2021,29.880408,-82.732589
65170,PV1,Hildreth Solar Power Plant,FL,74.9,2023,29.964842,-82.823199
65171,PV1,Bay Ranch Solar Power Plant,FL,74.9,2023,30.164754,-85.49179
65172,PV1,High Springs Solar Power Plant,FL,74.9,2023,29.810018,-82.639837
61667,1,Wimauma Solar and Battery Storage,FL,74.8,2020,27.730414,-82.263505
65420,1,Bluefield Preserve Solar,FL,74.5,2023,27.24354,-80.67097
61663,GEN1,Lithia Solar,FL,74.5,2019,27.753272,-82.164656
65438,1,FPL Cavendish Solar Energy Center,FL,74.5,2023,27.627009,-80.804159
65433,1,Blackwater River Solar Energy Center,FL,74.5,2023,30.64691,-86.93821
65432,1,Apalachee,FL,74.5,2023,30.76055,-85.06952
65428,1,Pink Trial Solar Energy Center,FL,74.5,2023,27.29783,-80.54214
65427,1,FPL Flowers Creek Solar Energy Center,FL,74.5,2023,30.569958,-85.040244
65424,1,First City Solar Energy Center,FL,74.5,2023,30.91993,-87.34002
65423,1,Everglades Solar Energy Center,FL,74.5,2023,25.54255,-80.55434
65422,1,FPL Chipola River Solar Energy Center,FL,74.5,2023,30.45463,-85.27853
65041,1,Elder Branch,FL,74.5,2022,27.5966,-82.25272
65040,1,Immokalee,FL,74.5,2022,26.474576,-81.433471
65039,1,Sundew,FL,74.5,2022,27.264113,-80.546851
65038,1,Ghost Orchid Solar Energy Center,FL,74.5,2022,26.417212,-81.03531
65037,1,Sawgrass Solar Energy Center,FL,74.5,2022,26.381386,-81.053721
67203,1,Bullfrog Creek Solar,FL,74.5,2024,27.660584,-82.295627
64631,1,Jamison Solar (FL),FL,74.5,2022,27.806645,-81.955676
64657,1,Magnolia Solar,FL,74.5,2021,27.917716,-82.048697
61022,1,Coral Farms Solar Energy Center,FL,74.5,2018,29.756944,-81.897222
65042,1,Grove,FL,74.5,2022,27.580883,-80.652711
62750,GEN1,Little Manatee River Solar,FL,74.5,2020,27.691262,-82.410575
62491,1,Okeechobee Solar,FL,74.5,2020,27.630392,-80.794784
62206,1,Hibiscus Solar Energy Center,FL,74.5,2020,26.7601,-80.3065
66128,1,Lake Mabel Solar and Battery Storage,FL,74.5,2023,27.9788,-81.61015
61654,PV1,Balm Solar,FL,74.4,2018,27.76284,-82.23463
62058,TERRL,SR Terrell,GA,74.0,2020,31.871387,-84.361952
61701,GEN1,Seabrook Solar,SC,72.5,2019,32.56445,-80.742047
61665,GEN1,Payne Creek Solar,FL,70.3,2018,27.664583,-81.964222
62678,299,Crooked Run,NC,70.1,2019,34.67704,-77.977497
63976,959,Bay Tree,NC,70.1,2021,34.70414,-78.393358
64840,SRCS,"SR Cedar Springs, LLC",GA,70.0,2022,31.2453,-85.086975
65629,SRMCK,SR McKellar,TN,70.0,2023,35.574169,-88.926606
65683,1,Juniper Solar (FL),FL,70.0,2023,28.181569,-82.155331
64103,DH002,Desert Harvest II LLC,CA,70.0,2020,33.8,-115.38
68148,1,Baldwin Solar BESS,IL,68.4,2024,38.203536,-89.853939
64151,PERRY,SR Perry,GA,68.0,2021,32.39597,-83.762901
65676,PV,Edwards Sanborn E5,CA,68.0,2022,34.965275,-118.0773
57295,1,Alpine Solar,CA,66.0,2013,34.7892,-118.5047
66635,ENX20,Caden Energix Axton LLC,VA,66.0,2023,36.667889,-79.755013
66172,SOTO2,SR DeSoto II,GA,65.0,2023,31.87042,-84.03574
58848,1,Warsaw Farm,NC,65.0,2015,35.005556,-78.125833
56917,1A,"Imperial Valley Solar, LLC",CA,64.6,2013,32.671099,-115.587265
58713,NSTR,North Star Solar,CA,61.6,2015,36.73,-120.41
65684,1,Laurel Oaks Solar,FL,61.2,2022,27.926882,-82.067668
61656,PV1,Grange Hall Solar,FL,61.1,2019,27.681278,-82.164656
61653,PV1,Alafia Solar,FL,60.0,2023,27.723197,-82.025608
66825,SOTO3,SR DeSoto III,GA,60.0,2023,31.868033,-84.007772
63495,1,Durrance,FL,60.0,2021,27.78,-81.98
62469,GEN01,Cove Mountain Solar,UT,58.0,2020,37.623123,-113.619219
62399,77778,Sage Solar I-III,UT,57.6,2019,41.77,-111.06
63350,GA3,OE_GA3,GA,57.5,2020,31.196185,-84.147539
61666,GEN,Peace Creek Solar,FL,55.4,2019,27.913306,-81.810111
65687,1,Riverside Solar,FL,55.2,2022,27.68368,-82.47243
59010,MSS1,Macho Springs,NM,55.0,2014,32.57,-107.48
61664,GEN1,Mountain View Solar (FL),FL,54.6,2022,28.39799,-82.22043
60383,MONPV,Monroe Solar Facility,NC,54.6,2017,34.929945,-80.625615
58592,SONR,Solar Gen 2 Solar Facility,CA,54.4,2014,33.08,-115.47
58592,ALHM,Solar Gen 2 Solar Facility,CA,54.4,2014,33.08,-115.47
58592,ARK,Solar Gen 2 Solar Facility,CA,54.4,2014,33.08,-115.47
60560,MILL,Millington Solar Farm,TN,53.0,2018,35.351533,-89.854725
60554,STHLV,Hazlehurst II,GA,52.5,2016,31.819444,-82.602222
57442,56188,Silver State Solar Power North,NV,52.0,2012,35.793056,-115.35028
61988,FL501,Citrus Ridge Solar,FL,52.0,2018,28.40078,-81.61632
63929,TROY1,Troy Solar,IN,50.4,2021,38.015372,-86.791594
62464,GEN01,Little Bear 4,CA,50.0,2020,36.716,-120.415
59691,GCSC3,Gulf Coast Solar Center III,FL,50.0,2017,30.470351,-87.335193
63128,ISLLC,Iris Solar LLC,LA,50.0,2022,30.78184,-90.19536
67167,LSSLR,Louise Solar,MN,50.0,2024,43.562,-92.683
64842,SRTC,"SR Turkey Creek, LLC",KY,50.0,2022,37.592994,-84.567965
62465,GEN01,Little Bear 5,CA,50.0,2020,36.716,-120.415
65066,1,Hoot Lake Solar,MN,49.9,2023,46.290641,-96.043252
61657,PV1,Lake Hancock Solar,FL,49.5,2019,27.719139,-82.033889
60125,KAWS,Kawailoa Solar,HI,49.0,2019,21.624,-158.055
60024,WPO,Waipio Solar,HI,45.9,2019,21.456,-157.982
64641,2,Big Bend II Solar,FL,45.8,2022,27.781988,-82.390452
59634,SNDST,Sandstone Solar,AZ,45.0,2015,33.035556,-111.430278
67168,FILCO,Fillmore County Solar Project,MN,45.0,2024,43.552,-92.357
64929,PV,Edwards Sanborn S1,CA,44.6,2022,35.02769,-118.13284
68147,1,Coffeen Solar BESS,IL,44.2,2024,39.068994,-89.393356
63187,FL4,"FL Solar 4, LLC",FL,42.0,2019,30.2354,-84.2233
58462,BLK7,McCoy Solar Energy Project Hybrid,CA,41.9,2016,33.694722,-114.739722
58462,1,McCoy Solar Energy Project Hybrid,CA,41.9,2016,33.694722,-114.739722
65677,PV,Edwards Sanborn S4,CA,41.2,2022,35.012467,-118.119264
57993,DSL1,"Desert Sunlight 300, LLC",CA,40.3,2013,33.823056,-115.393889
57993,DSL3,"Desert Sunlight 300, LLC",CA,40.3,2013,33.823056,-115.393889
57993,DSL2,"Desert Sunlight 300, LLC",CA,40.3,2013,33.823056,-115.393889
59690,GCSC2,Gulf Coast Solar Center II,FL,40.0,2017,30.430766,-86.895204
59870,GEN01,"Little Bear Solar 1, LLC",CA,40.0,2020,36.716,-120.415
59164,NSC 1,Elm City Solar Facility,NC,40.0,2016,35.781111,-77.846944
58462,BLK3,McCoy Solar Energy Project Hybrid,CA,39.6,2016,33.694722,-114.739722
58542,DSL13,"Desert Sunlight 250, LLC",CA,39.1,2014,33.8055,-115.3947
58542,DSL12,"Desert Sunlight 250, LLC",CA,39.1,2013,33.8055,-115.3947
58646,STL6,Stateline Solar,CA,37.9,2016,35.6,-115.4
58646,STL7,Stateline Solar,CA,37.9,2016,35.6,-115.4
58646,STL5,Stateline Solar,CA,37.9,2016,35.6,-115.4
58646,STL4,Stateline Solar,CA,37.9,2016,35.6,-115.4
58646,STL3,Stateline Solar,CA,37.9,2016,35.6,-115.4
